time/s	Ewe/V	<I>/mA	cycle number	
2.625367590235751E+005	2.0235071E+000	-1.234983360609489E-001	4.000000000000000E+000
2.625567599086724E+005	2.0225217E+000	-1.237803327986159E-001	4.000000000000000E+000
2.625767607937697E+005	2.0215020E+000	-1.239641365333104E-001	4.000000000000000E+000
2.625967571788719E+005	2.0204928E+000	-1.242743313317756E-001	4.000000000000000E+000
2.626167535639703E+005	2.0195434E+000	-1.245762970959516E-001	4.000000000000000E+000
2.626367520490696E+005	2.0185435E+000	-1.248750587590570E-001	4.000000000000000E+000
2.626567529341683E+005	2.0174832E+000	-1.251725117318246E-001	4.000000000000000E+000
2.626767539192666E+005	2.0165048E+000	-1.254864641396853E-001	4.000000000000000E+000
2.626967525043660E+005	2.0155830E+000	-1.257847311133973E-001	4.000000000000000E+000
2.627167508894649E+005	2.0145380E+000	-1.260868451849593E-001	4.000000000000000E+000
2.627367494745635E+005	2.0135269E+000	-1.263992888773764E-001	4.000000000000000E+000
